"conceptURI","code_xml","code_ted","op_code"
"http://publications.europa.eu/resource/authority/language/ABZ","abz",,"ABZ"
"http://publications.europa.eu/resource/authority/language/ACA","aca",,"ACA"
"http://publications.europa.eu/resource/authority/language/ACB","acb",,"ACB"
"http://publications.europa.eu/resource/authority/language/ACD","acd",,"ACD"
"http://publications.europa.eu/resource/authority/language/ACE","ace",,"ACE"
"http://publications.europa.eu/resource/authority/language/ACF","acf",,"ACF"
"http://publications.europa.eu/resource/authority/language/ACH","ach",,"ACH"
"http://publications.europa.eu/resource/authority/language/ACI","aci",,"ACI"
"http://publications.europa.eu/resource/authority/language/ACK","ack",,"ACK"
"http://publications.europa.eu/resource/authority/language/ACL","acl",,"ACL"
"http://publications.europa.eu/resource/authority/language/ACM","acm",,"ACM"
"http://publications.europa.eu/resource/authority/language/ACN","acn",,"ACN"
"http://publications.europa.eu/resource/authority/language/ACP","acp",,"ACP"
"http://publications.europa.eu/resource/authority/language/ACQ","acq",,"ACQ"
"http://publications.europa.eu/resource/authority/language/ACR","acr",,"ACR"
"http://publications.europa.eu/resource/authority/language/ACS","acs",,"ACS"
"http://publications.europa.eu/resource/authority/language/ACT","act",,"ACT"
"http://publications.europa.eu/resource/authority/language/ACU","acu",,"ACU"
"http://publications.europa.eu/resource/authority/language/ACV","acv",,"ACV"
"http://publications.europa.eu/resource/authority/language/ACW","acw",,"ACW"
"http://publications.europa.eu/resource/authority/language/ACX","acx",,"ACX"
"http://publications.europa.eu/resource/authority/language/ACY","acy",,"ACY"
"http://publications.europa.eu/resource/authority/language/ACZ","acz",,"ACZ"
"http://publications.europa.eu/resource/authority/language/ADA","ada",,"ADA"
"http://publications.europa.eu/resource/authority/language/ADB","adb",,"ADB"
"http://publications.europa.eu/resource/authority/language/ADD","add",,"ADD"
"http://publications.europa.eu/resource/authority/language/ADE","ade",,"ADE"
"http://publications.europa.eu/resource/authority/language/ADF","adf",,"ADF"
"http://publications.europa.eu/resource/authority/language/ADG","adg",,"ADG"
"http://publications.europa.eu/resource/authority/language/ADH","adh",,"ADH"
"http://publications.europa.eu/resource/authority/language/ADI","adi",,"ADI"
"http://publications.europa.eu/resource/authority/language/ADJ","adj",,"ADJ"
"http://publications.europa.eu/resource/authority/language/ADL","adl",,"ADL"
"http://publications.europa.eu/resource/authority/language/ADN","adn",,"ADN"
"http://publications.europa.eu/resource/authority/language/ADO","ado",,"ADO"
"http://publications.europa.eu/resource/authority/language/ADP","adp",,"ADP"
"http://publications.europa.eu/resource/authority/language/ADQ","adq",,"ADQ"
"http://publications.europa.eu/resource/authority/language/ADR","adr",,"ADR"
"http://publications.europa.eu/resource/authority/language/ADS","ads",,"ADS"
"http://publications.europa.eu/resource/authority/language/ADT","adt",,"ADT"
"http://publications.europa.eu/resource/authority/language/ADU","adu",,"ADU"
"http://publications.europa.eu/resource/authority/language/ADW","adw",,"ADW"
"http://publications.europa.eu/resource/authority/language/ADX","adx",,"ADX"
"http://publications.europa.eu/resource/authority/language/ADY","ady",,"ADY"
"http://publications.europa.eu/resource/authority/language/ADZ","adz",,"ADZ"
"http://publications.europa.eu/resource/authority/language/AEA","aea",,"AEA"
"http://publications.europa.eu/resource/authority/language/AEB","aeb",,"AEB"
"http://publications.europa.eu/resource/authority/language/AEC","aec",,"AEC"
"http://publications.europa.eu/resource/authority/language/AED","aed",,"AED"
"http://publications.europa.eu/resource/authority/language/AEE","aee",,"AEE"
"http://publications.europa.eu/resource/authority/language/AEK","aek",,"AEK"
"http://publications.europa.eu/resource/authority/language/AEL","ael",,"AEL"
"http://publications.europa.eu/resource/authority/language/AEM","aem",,"AEM"
"http://publications.europa.eu/resource/authority/language/AEN","aen",,"AEN"
"http://publications.europa.eu/resource/authority/language/AEQ","aeq",,"AEQ"
"http://publications.europa.eu/resource/authority/language/AER","aer",,"AER"
"http://publications.europa.eu/resource/authority/language/AES","aes",,"AES"
"http://publications.europa.eu/resource/authority/language/AEU","aeu",,"AEU"
"http://publications.europa.eu/resource/authority/language/AEW","aew",,"AEW"
"http://publications.europa.eu/resource/authority/language/AEY","aey",,"AEY"
"http://publications.europa.eu/resource/authority/language/AEZ","aez",,"AEZ"
"http://publications.europa.eu/resource/authority/language/AFA","afa",,"AFA"
"http://publications.europa.eu/resource/authority/language/AFB","afb",,"AFB"
"http://publications.europa.eu/resource/authority/language/AFD","afd",,"AFD"
"http://publications.europa.eu/resource/authority/language/AFE","afe",,"AFE"
"http://publications.europa.eu/resource/authority/language/AFG","afg",,"AFG"
"http://publications.europa.eu/resource/authority/language/AFH","afh",,"AFH"
"http://publications.europa.eu/resource/authority/language/AFI","afi",,"AFI"
"http://publications.europa.eu/resource/authority/language/AFK","afk",,"AFK"
"http://publications.europa.eu/resource/authority/language/AFN","afn",,"AFN"
"http://publications.europa.eu/resource/authority/language/AFO","afo",,"AFO"
"http://publications.europa.eu/resource/authority/language/AFP","afp",,"AFP"
"http://publications.europa.eu/resource/authority/language/AFR","af",,"AFR"
"http://publications.europa.eu/resource/authority/language/AFS","afs",,"AFS"
"http://publications.europa.eu/resource/authority/language/AFT","aft",,"AFT"
"http://publications.europa.eu/resource/authority/language/AFU","afu",,"AFU"
"http://publications.europa.eu/resource/authority/language/AFZ","afz",,"AFZ"
"http://publications.europa.eu/resource/authority/language/AGA","aga",,"AGA"
"http://publications.europa.eu/resource/authority/language/AGB","agb",,"AGB"
"http://publications.europa.eu/resource/authority/language/AGC","agc",,"AGC"
"http://publications.europa.eu/resource/authority/language/AGD","agd",,"AGD"
"http://publications.europa.eu/resource/authority/language/AGE","age",,"AGE"
"http://publications.europa.eu/resource/authority/language/AGF","agf",,"AGF"
"http://publications.europa.eu/resource/authority/language/AGG","agg",,"AGG"
"http://publications.europa.eu/resource/authority/language/AGH","agh",,"AGH"
"http://publications.europa.eu/resource/authority/language/AGI","agi",,"AGI"
"http://publications.europa.eu/resource/authority/language/AGJ","agj",,"AGJ"
"http://publications.europa.eu/resource/authority/language/AGK","agk",,"AGK"
"http://publications.europa.eu/resource/authority/language/AGL","agl",,"AGL"
"http://publications.europa.eu/resource/authority/language/AGM","agm",,"AGM"
"http://publications.europa.eu/resource/authority/language/AGN","agn",,"AGN"
"http://publications.europa.eu/resource/authority/language/AGO","ago",,"AGO"
"http://publications.europa.eu/resource/authority/language/AGP","agp",,"AGP"
"http://publications.europa.eu/resource/authority/language/AGQ","agq",,"AGQ"
"http://publications.europa.eu/resource/authority/language/AGR","agr",,"AGR"
"http://publications.europa.eu/resource/authority/language/AGS","ags",,"AGS"
"http://publications.europa.eu/resource/authority/language/AGT","agt",,"AGT"
"http://publications.europa.eu/resource/authority/language/AGU","agu",,"AGU"
"http://publications.europa.eu/resource/authority/language/AGV","agv",,"AGV"
"http://publications.europa.eu/resource/authority/language/AGW","agw",,"AGW"
"http://publications.europa.eu/resource/authority/language/AGX","agx",,"AGX"
"http://publications.europa.eu/resource/authority/language/AGY","agy",,"AGY"
"http://publications.europa.eu/resource/authority/language/AGZ","agz",,"AGZ"
"http://publications.europa.eu/resource/authority/language/AHA","aha",,"AHA"
"http://publications.europa.eu/resource/authority/language/AHB","ahb",,"AHB"
"http://publications.europa.eu/resource/authority/language/AHG","ahg",,"AHG"
"http://publications.europa.eu/resource/authority/language/AHH","ahh",,"AHH"
"http://publications.europa.eu/resource/authority/language/AHI","ahi",,"AHI"
"http://publications.europa.eu/resource/authority/language/AHK","ahk",,"AHK"
"http://publications.europa.eu/resource/authority/language/AHL","ahl",,"AHL"
"http://publications.europa.eu/resource/authority/language/AHM","ahm",,"AHM"
"http://publications.europa.eu/resource/authority/language/AHN","ahn",,"AHN"
"http://publications.europa.eu/resource/authority/language/AHO","aho",,"AHO"
"http://publications.europa.eu/resource/authority/language/AHP","ahp",,"AHP"
"http://publications.europa.eu/resource/authority/language/AHR","ahr",,"AHR"
"http://publications.europa.eu/resource/authority/language/AHS","ahs",,"AHS"
"http://publications.europa.eu/resource/authority/language/AHT","aht",,"AHT"
"http://publications.europa.eu/resource/authority/language/AIA","aia",,"AIA"
"http://publications.europa.eu/resource/authority/language/AIB","aib",,"AIB"
"http://publications.europa.eu/resource/authority/language/AIC","aic",,"AIC"
"http://publications.europa.eu/resource/authority/language/AID","aid",,"AID"
